ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch
-1764586.25,-1764578.1,81532.99,15610998.0,516698.88,-28.0084705081101,617
-1016987.125,-1016979.0,81544.06,10879750.0,414848.44,-15.609012551920845,620
-807164.875,-807156.75,81556.336,8046874.5,382672.22,-34.512453539648554,623
-828988.375,-828980.25,81552.46,6255625.0,280909.44,-22.312003117152543,626
-572302.25,-572294.1,81527.58,5555628.0,290100.5,-24.376752490850603,629
-461043.78125,-461035.62,81484.89,4580927.0,223151.53,-23.500861930803623,632
-438268.09375,-438259.94,81423.2,4259089.0,192055.53,-19.7332691592576,635
-347927.125,-347919.0,81346.34,3565666.5,157512.53,-17.652381272639648,638
-294584.0,-294575.88,81264.07,3254914.5,109756.66,-34.03611103287951,641
-250677.59375,-250669.47,81195.41,2842149.8,86147.81,-2.5261348948432536,644
-219435.234375,-219427.12,81097.28,2432386.0,80953.84,-11.89313305038285,647
-163856.1875,-163848.1,80977.11,1959587.1,46098.445,-13.005616528938994,650
-128195.625,-128187.54,80840.5,1585831.4,30774.434,-13.362164493028677,653
-108155.6875,-108147.62,80687.125,1355605.5,24181.816,-20.080997440483717,656
-77942.140625,-77934.086,80526.97,999798.5,15112.63,-2.598907878140655,659
-54388.5703125,-54380.535,80358.96,692435.3,11041.24,-13.305290303353509,662
-44067.78125,-44059.758,80233.16,584652.1,6567.388,4.025995483259511,665
-31121.19921875,-31113.184,80149.98,418917.06,4008.2988,-20.96329311805019,668
-21849.6015625,-21841.592,80098.0,297120.12,2486.3374,-23.32909423028731,671
-15133.4443359375,-15125.437,80076.375,208728.12,1400.3228,-13.887276742436873,674
-9807.43359375,-9799.424,80095.42,136049.61,797.33386,-33.00473488728494,677
-7327.71435546875,-7319.6963,80179.84,102957.27,441.99945,-12.254402327833429,680
-4710.34326171875,-4702.31,80330.28,66310.84,238.63875,-17.083498094677136,683
-3285.647705078125,-3277.59,80576.92,46483.25,115.931526,-17.39689509387679,686
-2254.420654296875,-2246.3345,80861.0,31743.66,65.888855,-32.14097893683562,689
-1687.4879150390625,-1679.3671,81208.59,23588.387,43.545555,7.142843361224599,692
-1312.241455078125,-1304.0804,81609.95,18283.217,19.459764,-30.280326001309547,695
-809.7416381835938,-801.53455,82071.016,10961.8125,8.9322405,-12.202324835190739,698
-604.8055419921875,-596.54694,82586.195,7975.9604,4.5845556,-7.824904342957789,701
-427.2010803222656,-418.88666,83144.23,5372.6914,2.3630352,-4.5236364057760925,704
-276.725830078125,-268.35684,83690.0,3156.2412,1.5534021,-23.82824075123413,707
-195.85055541992188,-187.4284,84221.555,1967.1743,0.86316705,-25.174160510900684,710
-152.390625,-143.92108,84695.45,1327.2769,0.5572877,-8.266414595975851,713
-117.33843994140625,-108.83269,85057.49,810.3721,0.39375216,-40.61428652081599,716
-123.29603576660156,-114.79963,84964.11,898.91113,0.3578641,-36.21328408384096,719
-113.06718444824219,-104.61034,84568.484,748.04736,0.38638172,-34.040076481088406,722
-96.27035522460938,-87.87256,83977.97,500.73492,0.38235438,-10.211090123522398,725
-86.93169403076172,-78.62139,83103.0,365.74918,0.20945042,-20.469844901822057,728
-83.62199401855469,-75.43395,81880.42,318.3421,0.23971663,-6.465004741756428,731
-76.13567352294922,-68.09331,80423.64,208.98376,0.3274746,-21.066436747931405,734
-887.3607177734375,-879.48254,78781.64,12200.162,0.2898245,0.43421664075740546,737
-336.3764343261719,-328.62772,77487.19,4059.7456,0.27202016,-6.97433572682583,740
-88.49307250976562,-80.85676,76363.12,398.09946,0.27786526,-26.350724690827544,743
-149.35980224609375,-141.81938,75404.21,832.65155,46.913918,-31.608082696082352,746
-114.64442443847656,-107.16288,74815.414,516.69324,27.293968,-10.027758420146409,749
-109.4134521484375,-101.98563,74278.25,549.0641,16.405888,-16.73810922874933,752
-93.72551727294922,-86.350784,73747.33,374.92886,10.71407,-36.0030098020748,755
-82.4246826171875,-75.100174,73245.08,265.6908,5.011594,-18.34051116848495,758
-80.05366516113281,-72.77763,72760.34,251.01138,3.0472481,-26.194465718023604,761
-73.72464752197266,-66.49404,72306.03,175.61255,1.3011801,-16.57993819658614,764
-70.62393188476562,-63.433044,71908.89,136.95004,0.6438499,-13.982631075928275,767
-68.3902587890625,-61.23944,71508.195,107.328995,0.36421674,-13.508067426326594,770
-66.28946685791016,-59.181213,71082.54,78.131256,0.24232669,-22.967365672897625,773
-65.58116912841797,-58.519848,70613.19,68.585785,0.21949714,-24.01455664024124,776
-64.03942108154297,-57.029404,70100.2,46.17702,0.25778335,-27.98062871481047,779
-63.175575256347656,-56.23291,69426.65,34.687077,0.22970897,-5.613523445536518,782
-71.7243423461914,-64.87101,68533.3,162.28757,0.23513925,-23.058449849993988,785
-63.41576385498047,-56.64464,67711.24,40.632248,0.24365424,-10.369288480503975,788
-84.4862289428711,-77.78023,67059.984,352.59064,0.28221843,-17.29832567291499,791
-92.86038208007812,-86.17778,66826.05,474.16812,0.53447115,-23.87249545700172,794
-74.74695587158203,-68.07749,66694.64,194.87111,1.7153561,15.177448359314896,797
-75.939453125,-69.284515,66549.375,226.99911,0.28632388,-13.908488013768478,800
-20709599232.0,-20709600000.0,81770.05,14081256.0,215940.62,-28.03659181494455,803
-3166654464.0,-3166654500.0,81190.734,7289591.0,115759.24,-17.093767758202066,806
-538534848.0,-538534850.0,80983.7,6836305.0,124736.92,-42.72114149445635,809
-47690840.0,-47690830.0,80932.68,6579724.0,133650.2,-19.375512952530396,812
-82141808.0,-82141800.0,80918.72,6372488.0,198246.25,-27.978511579900776,815
-2475196.25,-2475188.2,80909.01,6128292.5,242001.2,-14.87385611175152,818
-2234896.25,-2234888.2,80902.86,5492341.5,185445.22,-18.713921698930733,821
-565344.875,-565336.8,80894.875,6008629.5,234518.77,-38.15840659849317,824
-990066.8125,-990058.75,80885.266,6060294.0,240973.11,-14.349880259427774,827
