ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-57.82969665527344,-55.431496,23982.027,21.152746,0.39880294,-25.609654214333915,22.058346,0.87030697,-58.931190490722656,-55.811832,31193.602,515
-61.987998962402344,-59.624588,23634.102,80.5213,0.6585456,-28.91042530695464,30.045788,0.5590674,-59.22611618041992,-56.141716,30844.0,518
-57.119407653808594,-54.79282,23265.867,11.745493,0.3956908,-36.59470350581878,16.613369,0.5744922,-58.29132080078125,-55.24321,30481.098,521
-57.37843704223633,-55.10279,22756.445,12.181024,0.81020415,-14.729612594105426,17.06189,0.39497823,-58.148681640625,-55.15209,29965.922,524
-57.84259796142578,-55.628677,22139.21,13.809198,1.4245565,-8.041183339490344,60.52319,0.37272426,-61.045528411865234,-58.126244,29192.844,527
-57.36716842651367,-55.185207,21819.613,14.564594,0.6936482,-19.08999268122267,18.485611,0.29028127,-58.00239944458008,-55.17758,28248.18,530
-57.11339569091797,-54.95722,21561.758,13.948248,0.41835845,-11.076557818631747,51.967308,0.7664913,-60.539180755615234,-57.76545,27737.305,533
-56.75828552246094,-54.632156,21261.297,10.339703,0.2988392,-14.078017273440413,18.551155,0.45287699,-58.01245880126953,-55.29205,27204.11,536
-57.669647216796875,-55.572678,20969.684,18.602924,0.86242986,-27.98021913919023,16.544699,0.6613153,-57.95303726196289,-55.297318,26557.203,539
-56.72721862792969,-54.663773,20634.441,9.946107,0.3849206,-26.743360897666655,17.634777,0.7836789,-58.04015350341797,-55.453884,25862.68,542
-57.92292022705078,-55.89671,20262.117,25.019888,0.6995835,-17.3167511109863,14.880613,0.47243416,-57.60195541381836,-55.056904,25450.516,545
-57.784263610839844,-55.774773,20094.926,24.76238,0.5451412,-22.353307120173564,107.943535,3.9862268,-66.24956512451172,-63.731953,25176.117,548
-56.95168685913086,-54.960518,19911.688,15.606004,0.25746116,-8.317591916378227,77.913025,3.359415,-63.801177978515625,-61.27571,25254.68,551
-56.88329315185547,-54.90982,19734.727,11.144163,0.6287256,-13.93713486826461,40.646545,0.761423,-59.519771575927734,-56.99597,25238.0,554
-56.7537727355957,-54.80284,19509.328,13.046287,0.28041166,-22.533968555790853,21.42007,0.41128182,-57.980255126953125,-55.45803,25222.242,557
-56.51569366455078,-54.58922,19264.742,10.468229,0.22252896,-21.843654066808732,16.831985,0.67939705,-57.846412658691406,-55.328995,25174.168,560
-56.6514778137207,-54.756058,18954.21,10.884144,0.427494,-16.57301664376181,21.659191,0.570259,-58.09056854248047,-55.581787,25087.812,563
