ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-59.95670700073242,-55.14109,48156.156,18.982948,0.1866152,-30.185827868653757,37.65432,2.1089964,-63.68803787231445,-57.705368,59826.703,356,35700
-59.42648696899414,-54.66349,47629.984,11.947481,0.18436162,-14.08474019957766,292.3861,17.102783,-91.01109313964844,-85.0884,59226.89,359,36000
-59.278743743896484,-54.57699,47017.57,11.010685,0.15020837,-6.21236656542114,94.53296,5.402765,-69.66809844970703,-63.78302,58850.766,362,36300
-60.13469696044922,-55.512493,46222.04,24.774446,0.15632898,-23.04663865392842,48.767063,2.3159204,-64.44737243652344,-58.59736,58500.11,365,36600
-58.86602020263672,-54.324444,45415.75,7.4499483,0.13307124,-26.37845489422658,35.72325,1.4196129,-62.925926208496094,-57.1082,58177.25,368,36900
-58.6573486328125,-54.19545,44618.996,5.495859,0.13785434,-19.849475264277935,30.66424,0.79157084,-62.117713928222656,-56.34089,57768.234,371,37200
-58.519065856933594,-54.152046,43670.21,4.9503975,0.12824906,-21.913383502113874,14.20092,0.45597398,-60.72060012817383,-54.99977,57208.297,374,37500
-58.42692184448242,-54.189293,42376.297,5.5003576,0.12830302,-21.33671258401357,9.52103,0.30107123,-60.227882385253906,-54.57827,56496.125,377,37800
-60.92961883544922,-56.839684,40899.36,44.547653,0.14034691,-15.09206395734992,10.003441,0.2891127,-60.16631317138672,-54.602825,55634.9,380,38100
-58.4917106628418,-54.456116,40355.96,9.337232,0.13892706,-14.08376102538275,665.67114,0.49163997,-104.57978820800781,-99.10735,54724.375,383,38400
-58.291114807128906,-54.31019,39809.25,7.1336164,0.14363074,-37.014754318493026,74.88916,0.39891103,-64.50248718261719,-59.067787,54346.97,386,38700
-58.69457244873047,-54.763058,39315.156,14.003147,0.12593406,-21.98585101752053,52.24319,0.3634951,-62.89846420288086,-57.511417,53870.453,389,39000
-58.063106536865234,-54.182365,38807.395,5.368005,0.13129225,-31.191817174204377,43.03765,0.3603775,-62.21247863769531,-56.88639,53260.875,392,39300
-57.92433547973633,-54.09911,38252.258,4.2888803,0.1161806,-7.063711093848159,99.84196,0.3572055,-65.99488830566406,-60.728058,52668.33,395,39600
-57.838836669921875,-54.078995,37598.42,4.18995,0.096342996,-20.91865978397175,544.22314,0.50415653,-96.11290740966797,-90.897736,52151.695,398,39900
-57.862274169921875,-54.176346,36859.29,5.5798254,0.10122119,0.3616434865524105,954.4495,0.94235116,-124.14827728271484,-118.95329,51949.844,401,40200
-61.81138610839844,-57.005684,48057.03,35.72362,1.2680681,-23.26951140683849,120.273125,0.5510612,-67.4111557006836,-62.241768,51693.883,404,40500
-60.48264694213867,-55.83786,46447.875,28.145443,0.30006456,-9.916777455945082,109.24131,0.525264,-66.61595916748047,-61.477814,51381.453,407,40800
-59.4045524597168,-54.827614,45769.383,13.195988,0.30205008,-19.55925512844565,87.65814,0.56473154,-65.15140533447266,-60.04404,51073.67,410,41100
-59.09489822387695,-54.58292,45119.797,10.038907,0.2561531,-15.856911253211658,49.378017,0.39753938,-62.41554641723633,-57.340576,50749.688,413,41400
-58.809234619140625,-54.364742,44444.914,7.1526713,0.22234868,-17.864386801251637,37.549744,0.35776064,-61.5504264831543,-56.51327,50371.555,416,41700
-58.801761627197266,-54.425552,43762.1,8.245932,0.2028912,6.222943519513029,35.273113,0.43562412,-61.40202713012695,-56.411903,49901.25,419,42000
-58.75372314453125,-54.434624,43190.984,7.535345,0.28736293,-13.821813479342175,36.849762,0.36531338,-61.41853713989258,-56.471016,49475.22,422,42300
-58.44948959350586,-54.21102,42384.7,5.4732347,0.16312495,-21.672074077553738,87.74819,0.28997594,-64.76020050048828,-59.864212,48959.883,425,42600
-58.302947998046875,-54.158123,41448.24,5.0579324,0.12648588,-19.192288539586105,35.86375,0.25324574,-61.172767639160156,-56.32846,48443.08,428,42900
-58.15114974975586,-54.12408,40270.703,4.5567474,0.12629475,0.18288991222928264,11.137843,0.2841722,-59.43794250488281,-54.676247,47616.96,431,43200
-58.00212860107422,-54.11472,38874.105,4.3482857,0.13330624,-13.465492627318962,27.18081,0.22531457,-60.37602233886719,-55.722004,46540.203,434,43500
-57.7873420715332,-54.06241,37249.33,3.7667928,0.11414297,-19.300542795163786,299.22263,2.2227402,-80.14612579345703,-75.48205,46640.78,437,43800
-58.684417724609375,-55.12342,35609.977,12.416921,0.8171091,-36.50798804322761,124.96404,0.62942874,-67.26109313964844,-62.61222,46488.688,440,44100
-57.81654357910156,-54.35697,34595.727,7.439473,0.18218726,-14.644663073855412,53.44546,0.3470064,-62.215087890625,-57.581615,46334.734,443,44400
-57.802024841308594,-54.44131,33607.133,9.077283,0.14304481,-24.520244490603584,45.180496,0.33114824,-61.6245231628418,-57.01162,46129.03,446,44700
-57.62686538696289,-54.344627,32822.363,7.7666483,0.13122539,-21.856072236806394,24.069881,0.24277523,-60.10880661010742,-55.52331,45854.953,449,45000
-57.29429244995117,-54.104347,31899.45,4.4034815,0.11245225,7.3614995717880785,24.271526,0.2902105,-60.119205474853516,-55.569054,45501.53,452,45300
-57.108642578125,-54.02831,30803.352,3.5246143,0.08797226,-18.003639619901968,114.938576,0.32760045,-66.23571014404297,-61.729584,45061.28,455,45600
-56.98634719848633,-54.045593,29407.547,3.6603715,0.09994003,-40.76511790877264,77.72515,0.38630494,-63.71906280517578,-59.25116,44679.023,458,45900
-56.76488494873047,-53.995483,27694.0,3.1323967,0.078686,9.573145314491299,40.99118,0.32022896,-61.14641571044922,-56.72075,44256.67,461,46200
-56.58761978149414,-54.00284,25847.832,3.0906672,0.09372863,-17.76019647730356,23.547136,0.32082924,-59.92684555053711,-55.540756,43860.906,464,46500
-59.677791595458984,-57.237453,24403.371,34.381256,1.7448121,1.1385253755026439,12.3734665,0.20299768,-59.03291702270508,-54.70492,43279.96,467,46800
-56.53230667114258,-54.115646,24166.602,4.131825,0.15632743,-23.61265648768802,8.038924,0.20283969,-58.66411590576172,-54.411507,42526.098,470,47100
-56.45767593383789,-54.068512,23891.648,3.8389983,0.11594513,-0.6590898783925767,13.554685,0.17951392,-58.926265716552734,-54.768967,41573.008,473,47400
-56.37913513183594,-54.022,23571.36,3.4113626,0.08997227,-27.19555883357759,5.9261994,0.20617662,-58.310543060302734,-54.270805,40397.37,476,47700
-56.3660888671875,-54.047783,23183.043,3.7681987,0.09238833,-28.704559586544562,43.950905,0.22444454,-60.74976348876953,-56.856213,38935.523,479,48000
-56.28351974487305,-54.017212,22663.066,3.1802776,0.106013924,-36.211303297080335,6.970466,0.20057149,-58.103240966796875,-54.337677,37655.65,482,48300
-56.20512008666992,-54.01064,21944.809,3.1897335,0.095351875,-27.85378438518313,5.418778,0.18303034,-57.83761215209961,-54.22081,36168.03,485,48600
-56.072059631347656,-53.976673,20953.883,2.8130777,0.082819745,-22.454503776439825,3.5569763,0.116203785,-57.4935302734375,-54.049603,34439.28,488,48900
-55.95009231567383,-53.989216,19608.77,3.0322733,0.079434514,-6.5481351861323445,40.713028,0.1778239,-59.881019592285156,-56.60556,32754.61,491,49200
-55.81952667236328,-53.985207,18343.219,2.9763324,0.079100534,-4.886768086121291,32.42685,0.26262927,-59.38285446166992,-56.10224,32806.125,494,49500
-55.774166107177734,-54.046574,17275.941,3.9593077,0.071491785,-44.86369145564732,13.955632,0.2615243,-58.116641998291016,-54.85159,32650.52,497,49800
-55.651153564453125,-53.997334,16538.203,3.0377445,0.09088074,-7.706391029217576,6.660652,0.150422,-57.502620697021484,-54.282776,32198.438,500,50100
-59.29295349121094,-56.18977,31031.855,31.971775,0.43748826,-8.708300829850248,5.2437,0.13822576,-57.338287353515625,-54.18039,31578.992,503,50400
-57.3190803527832,-54.308662,30104.188,7.368328,0.117913306,-18.461783474914384,6.4091983,0.16823879,-57.357948303222656,-54.277817,30801.332,506,50700
-57.1801872253418,-54.235527,29446.59,5.954321,0.1512253,-14.115425506076207,4.636812,0.12438171,-57.11823654174805,-54.12821,29900.281,509,51000
-56.98492431640625,-54.104244,28806.809,4.3374767,0.118902944,-23.51234018314674,3.786419,0.107221,-56.93278121948242,-54.059055,28737.258,512,51300
-56.96403121948242,-54.138855,28251.762,4.9339776,0.11040075,-32.34141430269071,464.1748,0.6139301,-88.32041931152344,-85.55533,27650.906,515,51600
-56.86778259277344,-54.106117,27616.64,4.4756117,0.10785453,-25.796111798725647,26.343336,0.24918352,-58.449195861816406,-55.681488,27677.074,518,51900
-56.69524002075195,-54.0219,26733.39,3.4381385,0.08715029,-23.732266895970433,13.187385,0.22831035,-57.53190231323242,-54.77713,27547.738,521,52200
-56.69017791748047,-54.128975,25612.016,5.0330377,0.085887566,-7.022437936060076,7.7161474,0.18661708,-57.12175750732422,-54.378693,27430.656,524,52500
-56.50840759277344,-54.04532,24630.898,3.9043841,0.07513046,-30.063603158637278,6.0866046,0.16985604,-56.964317321777344,-54.25708,27072.383,527,52800
-56.43559265136719,-54.084343,23512.504,4.453757,0.07786195,-8.764611180760443,4.5721464,0.19453923,-56.82664108276367,-54.171307,26553.344,530,53100
-56.20857620239258,-53.976116,22324.59,2.9661334,0.066685304,-22.48766498324867,10.518258,0.2554257,-57.189109802246094,-54.614864,25742.469,533,53400
-56.03721618652344,-53.96409,20731.273,2.796933,0.06582965,-9.518263966911082,17.77029,0.35591078,-57.67485809326172,-55.17359,25012.648,536,53700
-55.818416595458984,-53.952366,18660.492,2.707708,0.057778385,-20.85320048440093,4.797766,0.12374761,-56.586421966552734,-54.13867,24477.492,539,54000
-55.62379455566406,-53.941055,16827.406,2.5826573,0.059822068,-39.80537030714811,5.125428,0.14610416,-56.54707336425781,-54.175972,23711.023,542,54300
-55.513431549072266,-53.945866,15675.66,2.5601788,0.062578954,-16.393810063676924,5.2805643,0.16173957,-56.46559143066406,-54.197052,22685.398,545,54600
-55.7346305847168,-54.269493,14651.359,5.4479656,0.2520604,-16.471092762893164,22.018387,0.1467709,-57.4537467956543,-55.319527,21342.219,548,54900
-55.41781234741211,-53.97895,14388.629,2.8940206,0.07808825,-29.44730185750109,5.698757,0.16199347,-56.26686096191406,-54.224823,20420.395,551,55200
-55.351802825927734,-53.94249,14093.141,2.6164153,0.05196152,-12.88657460043383,3.0667796,0.10042499,-55.94221115112305,-54.005753,19364.602,554,55500
-55.32134246826172,-53.952522,13688.203,2.648179,0.06361337,-22.440094056969123,13.091022,0.27747783,-56.71818542480469,-54.803886,19142.984,557,55800
-55.29640579223633,-53.981724,13146.82,3.0757208,0.065247655,-9.91881542230848,5.5540266,0.16685025,-56.11867904663086,-54.219017,18996.633,560,56100
-55.238426208496094,-53.97156,12668.664,2.9170086,0.06486701,-2.3850302677497033,4.4056997,0.12023404,-55.982601165771484,-54.109764,18728.371,563,56400
-5.375535488128662,-3.911624,14639.117,3.5261343,0.043897692,-6.781900723742204,5.3611593,0.167567,-56.0460319519043,-54.206444,18395.898,566,56700
9.203903198242188,10.964632,17607.29,1.415968,0.021970738,-20.712293725000208,4.230439,0.12245228,-55.90268325805664,-54.099403,18032.812,569,57000
16.699020385742188,18.844357,21453.371,0.8014202,0.019779896,-7.71952950370483,3.434236,0.12602215,-55.8017463684082,-54.047943,17538.023,572,57300
22.536596298217773,25.108135,25715.39,0.57541907,0.020174291,3.238724985552756,3.2054453,0.10199435,-55.70051574707031,-54.016197,16843.191,575,57600
26.37061309814453,29.382734,30121.223,0.50348186,0.033992995,31.090366483765248,3.5022616,0.1449714,-55.667911529541016,-54.06537,16025.422,578,57900
29.418371200561523,32.84194,34235.7,0.42230248,0.032924656,33.467012490362386,2.6679227,0.09908929,-55.472633361816406,-53.977867,14947.664,581,58200
